iter	Logloss
0	0.6873113247
1	0.6818368769
2	0.6764695737
3	0.6714688111
4	0.6665840459
5	0.6619684578
6	0.6572973769
7	0.6529443369
8	0.6485310975
9	0.6444405705
10	0.6403266064
11	0.6363439853
12	0.6328279452
13	0.6292859372
14	0.6259456863
15	0.6227626808
16	0.6194968809
17	0.6163426919
18	0.6134041964
19	0.6101444577
20	0.6072461621
21	0.6041298106
22	0.601642399
23	0.5989407098
24	0.5964615602
25	0.5940892851
26	0.5916971528
27	0.5894476636
28	0.5870328888
29	0.5850128982
30	0.5829231749
31	0.5806457778
32	0.5785600853
33	0.5766236604
34	0.5746662488
35	0.5727251512
36	0.570794185
37	0.5690078149
38	0.5669480905
39	0.5652180371
40	0.5635769863
41	0.5617372268
42	0.5600751294
43	0.5583525354
44	0.556898821
45	0.5555304828
46	0.5539319534
47	0.5522476416
48	0.5504298287
49	0.548897335
50	0.5476761166
51	0.5462573916
52	0.5449202007
53	0.5435986154
54	0.5423137575
55	0.5409972152
56	0.5398431445
57	0.5387210077
58	0.5373162578
59	0.5360549129
60	0.5349478691
61	0.533874088
62	0.5326466508
63	0.5315804912
64	0.5305385148
65	0.5290712424
66	0.5277355404
67	0.5266909735
68	0.5258280453
69	0.524558598
70	0.523555571
71	0.5224423623
72	0.5215342135
73	0.5201632938
74	0.5192818064
75	0.5175663935
76	0.5163830788
77	0.5151971015
78	0.5141466812
79	0.5132890324
80	0.512414519
81	0.5115109083
82	0.5104917056
83	0.5096463067
84	0.5087273037
85	0.5075861303
86	0.5066098878
87	0.5058598245
88	0.504987261
89	0.5041139646
90	0.503381987
91	0.5026378614
92	0.5017420474
93	0.5010347538
94	0.5001258846
95	0.4988626769
96	0.4979306278
97	0.4971152938
98	0.4963720185
99	0.4956267992
100	0.4947101066
101	0.4939314095
102	0.4932750059
103	0.4923845893
104	0.4909598468
105	0.490253839
106	0.4896590765
107	0.4889614237
108	0.4881312304
109	0.4872257581
110	0.4864377642
111	0.4857124964
112	0.4850073596
113	0.4843995779
114	0.4838558537
115	0.48328614
116	0.4822873923
117	0.4813609217
118	0.4806337536
119	0.4798057861
120	0.4793140821
121	0.478632537
122	0.477936193
123	0.477169433
124	0.4766376533
125	0.4760850109
126	0.4754598634
127	0.474365488
128	0.4737481312
129	0.4727285913
130	0.4721447208
131	0.4715345913
132	0.4709023698
133	0.4702766503
134	0.4695666162
135	0.4690395913
136	0.4684829773
137	0.4678297623
138	0.4673536244
139	0.4668536556
140	0.466366274
141	0.465358103
142	0.4649708806
143	0.4644287858
144	0.4635409681
145	0.4630618028
146	0.4624956462
147	0.4620846442
148	0.4615189075
149	0.4608030412
150	0.4603273013
151	0.4598714383
152	0.459125029
153	0.4584387616
154	0.4579873474
155	0.4574847508
156	0.4567474283
157	0.4564220451
158	0.4558995286
159	0.4553702048
160	0.4547990001
161	0.4541450715
162	0.4535899395
163	0.4532184929
164	0.4525340159
165	0.4514997876
166	0.4508451504
167	0.4503181695
168	0.4493472133
169	0.4488026747
170	0.4483983734
171	0.4479833832
172	0.447402164
173	0.4468780406
174	0.4463508207
175	0.445881993
176	0.4449807852
177	0.4444657873
178	0.4438262607
179	0.4431786102
180	0.4427032294
181	0.4420614198
182	0.4414042669
